,bankroll,solver,shrinkage,store_covariance,span_value,test_size_value,ROI,Number_of_bets,0
0,,svd,None,True,0.1,1,0.03332129963898908,277,109.22999999999998
1,,svd,None,True,0.1,2,0.06429090909090895,275,117.67999999999996
2,,svd,None,True,0.1,3,0.0773476702508959,279,121.57999999999996
3,,svd,None,True,0.1,4,0.051942446043165356,278,114.43999999999997
4,,svd,None,True,0.1,5,0.03731448763250869,283,110.55999999999996
5,,svd,None,True,0.1,6,0.08594982078853032,279,123.97999999999996
6,,svd,None,True,0.1,7,0.03632142857142848,280,110.16999999999997
7,,svd,None,True,0.1,8,0.028802816901408373,284,108.17999999999998
8,,svd,None,True,0.1,9,0.04992857142857134,280,113.97999999999998
9,,svd,None,True,0.1,10,0.02177700348432046,287,106.24999999999997
10,,svd,None,True,0.2,1,-0.14778894472361823,597,11.769999999999932
11,,svd,None,True,0.2,2,-0.15329331046312192,583,10.629999999999924
12,,svd,None,True,0.2,3,-0.1443633276740239,589,14.96999999999992
13,,svd,None,True,0.2,4,-0.15717277486911005,573,9.939999999999948
14,,svd,None,True,0.2,5,-0.16635738831615127,582,3.179999999999964
15,,svd,None,True,0.2,6,-0.14836456558773434,587,12.909999999999933
16,,svd,None,True,0.2,7,-0.1467169179229482,597,12.409999999999926
17,,svd,None,True,0.2,8,-0.13729636048526875,577,20.77999999999993
18,,svd,None,True,0.2,9,-0.14634446397188058,569,16.729999999999947
19,,svd,None,True,0.2,10,-0.16107876712328778,584,5.929999999999939
20,,svd,None,True,0.3,1,-0.412630979498861,878,-262.28999999999996
21,,svd,None,True,0.3,2,-0.4605915813424346,879,-304.86
22,,svd,None,True,0.3,3,-0.4655858930602958,879,-309.25
23,,svd,None,True,0.3,4,-0.4578299776286353,894,-309.29999999999995
24,,svd,None,True,0.3,5,-0.4512684031710079,883,-298.46999999999997
25,,svd,None,True,0.3,6,-0.4383841807909604,885,-287.96999999999997
26,,svd,None,True,0.3,7,-0.4715212527964206,894,-321.54
27,,svd,None,True,0.3,8,-0.4700223713646533,894,-320.20000000000005
28,,svd,None,True,0.3,9,-0.4678935447338618,883,-313.15
29,,svd,None,True,0.3,10,-0.4788722669735328,869,-316.14
30,,svd,None,True,0.4,1,-0.5949272882805817,1169,-595.47
31,,svd,None,True,0.4,2,-0.5798342059336824,1146,-564.49
32,,svd,None,True,0.4,3,-0.591405693950178,1124,-564.74
33,,svd,None,True,0.4,4,-0.6035568760611205,1178,-610.99
34,,svd,None,True,0.4,5,-0.5925202520252025,1111,-558.29
35,,svd,None,True,0.4,6,-0.5780639585133966,1157,-568.8199999999999
36,,svd,None,True,0.4,7,-0.5781081081081081,1147,-563.09
37,,svd,None,True,0.4,8,-0.5922788203753351,1119,-562.76
38,,svd,None,True,0.4,9,-0.5895322153574581,1133,-567.94
39,,svd,None,True,0.4,10,-0.5777413640389725,1129,-552.27
40,,svd,None,False,0.1,1,0.042369337979093966,287,112.15999999999997
41,,svd,None,False,0.1,2,0.04501754385964902,285,112.82999999999997
42,,svd,None,False,0.1,3,0.06396491228070161,285,118.22999999999996
43,,svd,None,False,0.1,4,0.02530465949820774,279,107.05999999999996
44,,svd,None,False,0.1,5,0.050640569395017654,281,114.22999999999996
45,,svd,None,False,0.1,6,0.03350877192982445,285,109.54999999999997
46,,svd,None,False,0.1,7,0.04123674911660768,283,111.66999999999997
47,,svd,None,False,0.1,8,0.03272727272727257,275,108.99999999999996
48,,svd,None,False,0.1,9,0.040213523131672486,281,111.29999999999997
49,,svd,None,False,0.1,10,0.039068965517241275,290,111.32999999999997
50,,svd,None,False,0.2,1,-0.13897858319604628,607,15.639999999999901
51,,svd,None,False,0.2,2,-0.1538305084745764,590,9.239999999999931
52,,svd,None,False,0.2,3,-0.14181818181818193,594,15.759999999999934
53,,svd,None,False,0.2,4,-0.14908771929824574,570,15.019999999999918
54,,svd,None,False,0.2,5,-0.17122448979591842,588,-0.6800000000000423
55,,svd,None,False,0.2,6,-0.15342419080068154,587,9.939999999999934
56,,svd,None,False,0.2,7,-0.1633216783216784,572,6.579999999999956
57,,svd,None,False,0.2,8,-0.1195262267343487,591,29.359999999999914
58,,svd,None,False,0.2,9,-0.1428620102214652,587,16.13999999999993
59,,svd,None,False,0.2,10,-0.14564013840830461,578,15.81999999999993
60,,svd,None,False,0.3,1,-0.45856172140430346,883,-304.90999999999997
61,,svd,None,False,0.3,2,-0.43941436464088396,905,-297.66999999999996
62,,svd,None,False,0.3,3,-0.47093573844419395,887,-317.72
63,,svd,None,False,0.3,4,-0.46028768699654776,869,-299.99
64,,svd,None,False,0.3,5,-0.44629796839729113,886,-295.41999999999996
65,,svd,None,False,0.3,6,-0.4362099447513812,905,-294.77
66,,svd,None,False,0.3,7,-0.45846681922196786,874,-300.69999999999993
67,,svd,None,False,0.3,8,-0.46449500554938955,901,-318.51
68,,svd,None,False,0.3,9,-0.4777828571428571,875,-318.06
69,,svd,None,False,0.3,10,-0.44444819819819814,888,-294.66999999999996
70,,svd,None,False,0.4,1,-0.5966204506065858,1154,-588.5
71,,svd,None,False,0.4,2,-0.5939334470989761,1172,-596.09
72,,svd,None,False,0.4,3,-0.6037350427350427,1170,-606.37
73,,svd,None,False,0.4,4,-0.5961459227467811,1165,-594.51
74,,svd,None,False,0.4,5,-0.5797663971248876,1113,-545.28
75,,svd,None,False,0.4,6,-0.5897625570776255,1095,-545.79
76,,svd,None,False,0.4,7,-0.5905993150684931,1168,-589.8199999999999
77,,svd,None,False,0.4,8,-0.5882432432432433,1110,-552.95
78,,svd,None,False,0.4,9,-0.5954457193292145,1133,-574.6400000000001
79,,svd,None,False,0.4,10,-0.5866063738156762,1161,-581.05
80,,lsqr,None,True,0.1,1,0.10366972477064211,218,122.59999999999998
81,,lsqr,None,True,0.1,2,0.10497890295358642,237,124.87999999999998
82,,lsqr,None,True,0.1,3,0.10981735159817338,219,124.04999999999997
83,,lsqr,None,True,0.1,4,0.09218009478672974,211,119.44999999999997
84,,lsqr,None,True,0.1,5,0.11278350515463909,194,121.87999999999998
85,,lsqr,None,True,0.1,6,0.06545893719806749,207,113.54999999999997
86,,lsqr,None,True,0.1,7,0.08965174129353218,201,118.01999999999997
87,,lsqr,None,True,0.1,8,0.06918181818181805,220,115.21999999999997
88,,lsqr,None,True,0.1,9,0.07555555555555542,270,120.39999999999996
89,,lsqr,None,True,0.1,10,0.27999999999999975,143,140.03999999999996
90,,lsqr,None,True,0.2,1,-0.129548133595285,509,34.05999999999993
91,,lsqr,None,True,0.2,2,-0.18559701492537323,402,25.389999999999958
92,,lsqr,None,True,0.2,3,-0.2638352272727274,352,7.129999999999953
93,,lsqr,None,True,0.2,4,-0.10757929883138576,599,35.55999999999993
94,,lsqr,None,True,0.2,5,-0.260883190883191,351,8.42999999999995
95,,lsqr,None,True,0.2,6,-0.1423991031390136,446,36.48999999999994
96,,lsqr,None,True,0.2,7,-0.1433697632058289,549,21.289999999999928
97,,lsqr,None,True,0.2,8,-0.1499573560767592,469,29.669999999999938
98,,lsqr,None,True,0.2,9,-0.1467241379310346,522,23.409999999999933
99,,lsqr,None,True,0.2,10,-0.1554128440366974,545,15.299999999999933
100,,lsqr,None,True,0.3,1,-0.42971285892634214,801,-244.20000000000002
101,,lsqr,None,True,0.3,2,-0.45475274725274717,728,-231.05999999999995
102,,lsqr,None,True,0.3,3,-0.4353630705394191,964,-319.69
103,,lsqr,None,True,0.3,4,-0.4643600562587904,711,-230.16
104,,lsqr,None,True,0.3,5,-0.46608177172061327,587,-173.58999999999997
105,,lsqr,None,True,0.3,6,-0.45413830954994516,911,-313.72
106,,lsqr,None,True,0.3,7,-0.43862808145766347,933,-309.24
107,,lsqr,None,True,0.3,8,-0.4660516605166051,813,-278.9
108,,lsqr,None,True,0.3,9,-0.4671967020023557,849,-296.65
109,,lsqr,None,True,0.3,10,-0.4374565416285453,1093,-378.14
110,,lsqr,None,True,0.4,1,-0.6061171797418073,1007,-510.36
111,,lsqr,None,True,0.4,2,-0.6190083507306889,958,-493.01
112,,lsqr,None,True,0.4,3,-0.6682291666666667,576,-284.9
113,,lsqr,None,True,0.4,4,-0.6234920634920635,1008,-528.48
114,,lsqr,None,True,0.4,5,-0.5901911262798636,1465,-764.6300000000001
115,,lsqr,None,True,0.4,6,-0.6022046651617758,1329,-700.33
116,,lsqr,None,True,0.4,7,-0.6017089678510998,1182,-611.22
117,,lsqr,None,True,0.4,8,-0.6317273673257024,961,-507.09000000000003
118,,lsqr,None,True,0.4,9,-0.607757382282522,1253,-661.52
119,,lsqr,None,True,0.4,10,-0.6251176470588234,850,-431.34999999999997
120,,,,,,,,,
121,,,,,,,,,
122,,,,,,,,,
123,,,,,,,,,
124,,,,,,,,,
125,,,,,,,,,
126,,,,,,,,,
127,,,,,,,,,
128,,,,,,,,,
129,,,,,,,,,
130,,,,,,,,,
131,,,,,,,,,
132,,,,,,,,,
133,,,,,,,,,
134,,,,,,,,,
135,,,,,,,,,
136,,,,,,,,,
137,,,,,,,,,
138,,,,,,,,,
139,,,,,,,,,
140,,,,,,,,,
141,,,,,,,,,
142,,,,,,,,,
143,,,,,,,,,
144,,,,,,,,,
145,,,,,,,,,
146,,,,,,,,,
147,,,,,,,,,
148,,,,,,,,,
149,,,,,,,,,
150,,,,,,,,,
151,,,,,,,,,
152,,,,,,,,,
153,,,,,,,,,
154,,,,,,,,,
155,,,,,,,,,
156,,,,,,,,,
157,,,,,,,,,
158,,,,,,,,,
159,,,,,,,,,
160,,,,,,,,,
161,,,,,,,,,
162,,,,,,,,,
163,,,,,,,,,
164,,,,,,,,,
165,,,,,,,,,
166,,,,,,,,,
167,,,,,,,,,
168,,,,,,,,,
169,,,,,,,,,
170,,,,,,,,,
171,,,,,,,,,
172,,,,,,,,,
173,,,,,,,,,
174,,,,,,,,,
175,,,,,,,,,
176,,,,,,,,,
177,,,,,,,,,
178,,,,,,,,,
179,,,,,,,,,
180,,,,,,,,,
181,,,,,,,,,
182,,,,,,,,,
183,,,,,,,,,
184,,,,,,,,,
185,,,,,,,,,
186,,,,,,,,,
187,,,,,,,,,
188,,,,,,,,,
189,,,,,,,,,
190,,,,,,,,,
191,,,,,,,,,
192,,,,,,,,,
193,,,,,,,,,
194,,,,,,,,,
195,,,,,,,,,
196,,,,,,,,,
197,,,,,,,,,
198,,,,,,,,,
199,,,,,,,,,
200,,,,,,,,,
201,,,,,,,,,
202,,,,,,,,,
203,,,,,,,,,
204,,,,,,,,,
205,,,,,,,,,
206,,,,,,,,,
207,,,,,,,,,
208,,,,,,,,,
209,,,,,,,,,
210,,,,,,,,,
211,,,,,,,,,
212,,,,,,,,,
213,,,,,,,,,
214,,,,,,,,,
215,,,,,,,,,
216,,,,,,,,,
217,,,,,,,,,
218,,,,,,,,,
219,,,,,,,,,
220,,,,,,,,,
221,,,,,,,,,
222,,,,,,,,,
223,,,,,,,,,
224,,,,,,,,,
225,,,,,,,,,
226,,,,,,,,,
227,,,,,,,,,
228,,,,,,,,,
229,,,,,,,,,
230,,,,,,,,,
231,,,,,,,,,
232,,,,,,,,,
233,,,,,,,,,
234,,,,,,,,,
235,,,,,,,,,
236,,,,,,,,,
237,,,,,,,,,
238,,,,,,,,,
239,,,,,,,,,
